Place,Agency,Population 2015,Homicide 2015,Rape 2015,Robbery 2015,Aggravated assault 2015,Burglary 2015,Theft 2015,Motor theft 2015,Arson 2015,Cannabis 2015,Controlled substance 2015,Drug paraphernalia 2015,Hypodermic needle 2015,Methamphetamine 2015,Total drug crime 2015,Population 2014,Homicide 2014,Rape 2014,Robbery 2014,Aggravated assault 2014,Burglary 2014,Theft 2014,Motor theft 2014,Arson 2014,Cannabis 2014,Controlled substance 2014,Drug paraphernalia 2014,Hypodermic needle 2014,Methamphetamine 2014,Total drug crime 2014,Avg Commute Time,Diversity Index,Time to Loop - Car,Time to Loop - Transit,Time to Midway - Car,Time to Midway - Transit,Time to O'Hare - Car,Time to O'Hare - Transit
"Hodgkins village, Illinois",HODGKINS PD,1877,0,0,1,4,4,303,6,0,5,4,3,0,0,12,1865,0,1,1,2,4,322,9,0,14,2,2,0,0,18,22.288613303269447,0.7934030208719824,28,78,16,51,23,122
"Hoffman Estates village, Illinois",HOFFMAN ESTATES PD,52450,0,3,10,26,68,340,20,1,144,33,135,6,0,318,52512,0,9,13,28,78,458,22,3,177,43,147,0,0,367,29.657144979755582,1.11899279129661,45,120,49,137,21,68
"Holiday Hills village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.02803738317757,0.2515584201960812,75,,76,,50,
"Homer Glen village, Illinois",HOMER GLEN PD,24389,0,0,2,3,30,120,3,0,23,2,17,0,0,42,24333,0,0,0,5,35,128,4,0,29,5,22,0,0,56,33.69986461330174,0.4118411190204415,47,101,35,76,38,147
"Hometown city, Illinois",HOMETOWN PD,4369,0,0,1,5,3,39,5,0,54,2,22,0,0,78,4377,0,0,2,5,3,46,0,0,31,0,5,0,0,36,28.458686440677965,0.5186028674762269,39,66,13,17,35,108
"Homewood village, Illinois",HOMEWOOD PD,19496,0,1,15,5,62,703,20,1,172,30,49,0,0,251,19470,0,1,28,5,62,537,21,1,161,18,33,0,1,213,30.773115773115773,1.045768939304474,40,45,35,88,40,97
"Huntley village, Illinois",HUNTLEY PD (MCA),25927,1,0,0,5,20,197,1,0,18,4,23,0,0,45,25502,1,0,1,5,19,188,3,0,35,4,54,0,0,93,38.790884152774844,0.6116405490033734,65,,69,,40,
"Indian Creek village, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.16891891891892,0.8284053112485132,50,115,58,139,27,95
"Indian Head Park village, Illinois",INDIAN HEAD PARK PD,3846,0,1,0,2,1,15,1,0,2,0,1,0,0,3,3847,0,1,0,1,5,21,2,0,5,0,0,0,0,5,32.51858736059479,0.48125465717596944,33,100,20,75,21,141
"Inverness village, Illinois",INVERNESS PD,7639,0,0,0,0,3,4,1,0,0,0,0,0,0,0,7585,0,0,0,0,5,10,1,0,0,0,0,0,0,0,34.8812351543943,0.4304033747350462,48,,52,,23,
"Island Lake village, Illinois",ISLAND LAKE PD (MCA),8018,0,3,0,6,8,53,4,0,14,10,21,2,0,47,7999,1,1,0,0,26,49,1,0,13,3,17,5,0,38,33.38252939764819,0.6001501940183042,69,,71,,44,
"Itasca village, Illinois",ITASCA PD,8835,0,3,0,1,10,89,5,1,26,5,10,0,0,41,8849,0,0,1,0,15,106,3,0,11,6,9,0,0,26,28.36010242085661,0.7193763971337208,40,71,41,84,21,58
