community,commute,diversity,crime,schools,price,fips,median_price
"Maple Park village, Illinois",-0.5072772531499795,-1.0986378928450389,-2.3069991557998417,-0.18608702869245483,-0.6032484804560339,46604,0
"Marengo city, Illinois",0.631440201616779,-0.26788197459778446,0.5579597189731925,-0.020423416068856868,-0.6032484804560339,46786,0
"Markham city, Illinois",0.1009604641202103,-0.19597200676781998,-0.4456508409845107,-1.1254917239005542,2.1794818741600515,47007,"$42,000"
"Matteson village, Illinois",-0.4648770591152209,-0.350042882892513,-0.20862397405447372,-1.465526932379274,-0.5918244023978272,47540,"$120,000"
"Maywood village, Illinois",0.6901735528340867,0.15954930510859602,-1.2108847394816147,-1.3712069647174958,0.6751140021471157,47774,"$84,000"
"McCook village, Illinois",1.7513965391495474,-0.01626259272899456,-1.1228816760944729,0.47937807807789173,-0.6032484804560339,45564,$0
"McCullom Lake village, Illinois",0.5945147138714629,-0.5402419905926874,-0.9202975835018798,-0.3576770465888747,1.0343071077783967,45616,"$159,900"
"McHenry city, Illinois",0.32925247419888165,-0.5008684602617509,-1.7998970811983643,-0.37618133198705994,1.0343071077783967,45694,"$159,900"
"Melrose Park village, Illinois",1.2651065753446853,0.13764280169019122,-0.08009016214896734,-1.1791910537351986,0.9542243485937465,48242,"$167,000"
"Merrionette Park village, Illinois",-0.5144693161114681,-0.15939310541204524,-0.29121491165210966,-0.9428585945886938,-0.3711628573277472,48554,"$97,500"
"Mettawa village, Illinois",0.7286919593708812,-0.2961023132945579,-0.005689154735765792,1.6259220782648776,-0.4103426210813422,48671,"$626,672"
"Midlothian village, Illinois",0.4468964243507136,0.8509365591099731,-0.2623033138751486,-0.9639947215181187,1.0820730863886534,48892,"$124,950"
"Morton Grove village, Illinois",0.5008923449397634,0.7684997966396528,0.2539992862470276,0.3172309736295566,0.4384386305020797,50647,"$282,750"
"Mount Prospect village, Illinois",0.8806151712420824,0.7879250839969791,1.0671739718041098,0.7013901536405431,0.09611079680583608,51089,"$285,000"
"Mundelein village, Illinois",0.5245977795076471,0.9688381296173082,-0.09620598932758757,-0.10881631946134962,-0.13925869945620234,51349,"$200,000"
"Naperville city, Illinois",-0.6668823346461059,0.6408668121738662,0.8833448732786467,1.1976264087040338,-0.30891636609480216,51622,"$356,945"
"New Lenox village, Illinois",-1.0572208221962938,-1.2119701560856495,0.6728989558427463,0.5535374351801202,-0.07805643832458886,52584,"$260,250"
"Niles village, Illinois",0.4749107836029218,0.683255060583671,0.5905895148596194,0.33750584424551267,0.0008520238098283295,53000,"$252,000"
"Norridge village, Illinois",0.010483754314824614,-0.7582728816250257,0.7520683908513329,-0.22548684205680466,-0.18342173539946544,53377,"$260,000"
"North Aurora village, Illinois",1.1795298423932161,0.672746943808981,1.3932360379561417,-0.9794979627893956,-0.6032484804560339,53442,0
"North Barrington village, Illinois",-1.0204164248491034,-1.4324754977385534,-0.38373663773955735,1.1015659254472965,-0.6032484804560339,53455,0
